x1,x2,x3,x4,x5,x6
237,1645,237,1,1,2
240,1561,240,1,1,2
240,1576,240,1,1,2
226,2012,226,1,1,2
245,1392,245,1,1,2
246,1371,246,1,1,2
250,229,250,1,1,2
251,187,251,1,1,2
236,233,236,1,1,2
252,221,252,1,1,2
252,230,252,1,1,2
248,130,248,1,1,2
248,240,248,1,1,2
248,175,248,1,1,2
246,174,246,1,1,2
246,96,246,1,1,2
254,198,254,1,1,2
247,1348,247,1,1,2
247,1333,247,1,1,2
241,1518,241,1,1,2
259,146,259,1,1,2
240,85,240,1,1,2
260,192,260,1,1,2
255,17,255,1,1,2
255,310,255,1,1,2
261,183,261,1,1,2
264,163,264,1,1,2
256,1295,256,1,1,2
265,205,265,1,1,2
270,156,270,1,1,2
253,4,253,1,1,2
253,169,253,1,1,2
254,1376,254,1,1,2
271,231,271,1,1,2
274,44,274,1,1,2
274,83,274,1,1,2
272,30,272,1,1,2
276,1727,276,1,1,2
279,49,279,1,1,2
283,103,283,1,1,2
282,28,282,1,1,2
282,38,282,1,1,2
279,191,279,1,1,2
284,65,284,1,1,2
276,218,276,1,1,2
276,264,276,1,1,2
291,95,291,1,1,2
295,108,295,1,1,2
295,143,295,1,1,2
258,100,258,1,1,2
258,40,258,1,1,2
295,14,295,1,1,2
308,494,308,1,1,2
298,54,298,1,1,2
301,239,301,1,1,2
301,273,301,1,1,2
308,176,308,1,1,2
308,52,308,1,1,2
312,65,312,1,1,2
307,14,307,1,1,2
313,335,313,1,1,2
315,737,315,1,1,2
321,417,321,1,1,2
319,152,319,1,1,2
319,96,319,1,1,2
305,71,305,1,1,2
305,141,305,1,1,2
316,780,316,1,1,2
316,621,316,1,1,2
318,262,318,1,1,2
297,135,297,1,1,2
301,186,301,1,1,2
324,256,324,1,1,2
323,74,323,1,1,2
309,221,309,1,1,2
322,195,322,1,1,2
322,709,322,1,1,2
314,133,314,1,1,2
314,56,314,1,1,2
314,240,314,1,1,2
330,170,330,1,1,2
330,230,330,1,1,2
326,89,326,1,1,2
326,228,326,1,1,2
326,237,326,1,1,2
329,271,329,1,1,2
323,746,323,1,1,2
323,764,323,1,1,2
324,555,324,1,1,2
331,160,331,1,1,2
325,960,325,1,1,2
325,635,325,1,1,2
316,1081,316,1,1,2
325,178,325,1,1,2
325,508,325,1,1,2
336,16,336,1,1,2
332,82,332,1,1,2
332,107,332,1,1,2
313,394,313,1,1,2
343,1165,343,1,1,2
315,651,315,1,1,2
315,668,315,1,1,2
356,126,356,1,1,2
356,285,356,1,1,2
338,201,338,1,1,2
337,417,337,1,1,2
337,74,337,1,1,2
337,30,337,1,1,2
347,82,347,1,1,2
350,102,350,1,1,2
345,294,345,1,1,2
370,91,370,1,1,2
346,239,346,1,1,2
353,134,353,1,1,2
360,108,360,1,1,2
351,199,351,1,1,2
351,112,351,1,1,2
367,54,367,1,1,2
362,213,362,1,1,2
371,115,371,1,1,2
361,119,361,1,1,2
383,195,383,1,1,2
378,1132,378,1,1,2
365,165,365,1,1,2
365,98,365,1,1,2
387,22,387,1,1,2
387,116,387,1,1,2
382,270,382,1,1,2
381,28,381,1,1,2
391,238,391,1,1,2
391,137,391,1,1,2
395,141,395,1,1,2
395,29,395,1,1,2
376,127,376,1,1,2
376,95,376,1,1,2
376,227,376,1,1,2
374,33,374,1,1,2
386,84,386,1,1,2
394,110,394,1,1,2
400,4,400,1,1,2
396,279,396,1,1,2
403,37,403,1,1,2
413,136,413,1,1,2
406,27,406,1,1,2
412,222,412,1,1,2
405,181,405,1,1,2
405,80,405,1,1,2
410,145,410,1,1,2
410,122,410,1,1,2
428,35,428,1,1,2
416,37,416,1,1,2
426,34,426,1,1,2
421,237,421,1,1,2
421,298,421,1,1,2
415,176,415,1,1,2
423,205,423,1,1,2
430,159,430,1,1,2
418,246,418,1,1,2
422,81,422,1,1,2
422,133,422,1,1,2
424,144,424,1,1,2
436,237,436,1,1,2
436,255,436,1,1,2
432,47,432,1,1,2
440,103,440,1,1,2
440,121,440,1,1,2
443,78,443,1,1,2
443,218,443,1,1,2
438,195,438,1,1,2
446,252,446,1,1,2
451,724,451,1,1,2
445,168,445,1,1,2
463,82,463,1,1,2
450,110,450,1,1,2
450,24,450,1,1,2
459,250,459,1,1,2
455,142,455,1,1,2
453,699,453,1,1,2
456,18,456,1,1,2
469,191,469,1,1,2
468,133,468,1,1,2
468,143,468,1,1,2
454,87,454,1,1,2
466,716,466,1,1,2
458,1585,458,1,1,2
479,187,479,1,1,2
476,118,476,1,1,2
465,56,465,1,1,2
478,141,478,1,1,2
485,276,485,1,1,2
483,154,483,1,1,2
486,126,486,1,1,2
482,198,482,1,1,2
487,286,487,1,1,2
493,132,493,1,1,2
493,152,493,1,1,2
503,798,503,1,1,2
497,238,497,1,1,2
517,99,517,1,1,2
517,63,517,1,1,2
520,65,520,1,1,2
500,249,500,1,1,2
518,151,518,1,1,2
512,282,512,1,1,2
509,103,509,1,1,2
505,143,505,1,1,2
514,194,514,1,1,2
508,389,508,1,1,2
508,66,508,1,1,2
531,85,531,1,1,2
541,82,541,1,1,2
527,158,527,1,1,2
528,72,528,1,1,2
526,203,526,1,1,2
536,249,536,1,1,2
538,211,538,1,1,2
540,240,540,1,1,2
540,176,540,1,1,2
548,278,548,1,1,2
550,60,550,1,1,2
550,238,550,1,1,2
544,95,544,1,1,2
549,248,549,1,1,2
549,149,549,1,1,2
561,167,561,1,1,2
