x1,x2,x3,x4,x5,x6
54,194,1,54,1,3
93,55,1,93,1,3
66,262,1,66,1,3
65,544,1,65,1,3
121,410,1,121,1,3
99,241,1,99,1,3
114,789,1,114,1,3
114,381,1,114,1,3
114,167,1,114,1,3
84,648,1,84,1,3
84,755,1,84,1,3
86,766,1,86,1,3
101,512,1,101,1,3
47,315,1,47,1,3
46,594,1,46,1,3
59,283,1,59,1,3
78,494,1,78,1,3
60,462,1,60,1,3
125,146,1,125,1,3
108,417,1,108,1,3
119,668,1,119,1,3
57,492,1,57,1,3
48,95,1,48,1,3
94,461,1,94,1,3
95,176,1,95,1,3
110,493,1,110,1,3
81,260,1,81,1,3
81,493,1,81,1,3
53,748,1,53,1,3
66,682,1,66,1,3
72,553,1,72,1,3
72,252,1,72,1,3
106,1001,1,106,1,3
106,649,1,106,1,3
55,702,1,55,1,3
109,776,1,109,1,3
109,301,1,109,1,3
98,230,1,98,1,3
98,397,1,98,1,3
61,345,1,61,1,3
49,196,1,49,1,3
48,798,1,48,1,3
88,376,1,88,1,3
78,857,1,78,1,3
67,667,1,67,1,3
68,263,1,68,1,3
62,578,1,62,1,3
121,1027,1,121,1,3
69,286,1,69,1,3
68,365,1,68,1,3
103,556,1,103,1,3
70,101,1,70,1,3
69,741,1,69,1,3
69,795,1,69,1,3
52,195,1,52,1,3
74,474,1,74,1,3
111,618,1,111,1,3
46,197,1,46,1,3
46,318,1,46,1,3
46,94,1,46,1,3
45,786,1,45,1,3
100,473,1,100,1,3
100,492,1,100,1,3
99,792,1,99,1,3
99,686,1,99,1,3
118,683,1,118,1,3
63,59,1,63,1,3
75,462,1,75,1,3
75,98,1,75,1,3
122,472,1,122,1,3
103,56,1,103,1,3
103,356,1,103,1,3
103,266,1,103,1,3
45,557,1,45,1,3
45,322,1,45,1,3
45,45,1,45,1,3
45,463,1,45,1,3
45,474,1,45,1,3
45,265,1,45,1,3
45,286,1,45,1,3
58,318,1,58,1,3
133,411,1,133,1,3
130,983,1,130,1,3
130,347,1,130,1,3
130,161,1,130,1,3
147,154,1,147,1,3
147,472,1,147,1,3
137,814,1,137,1,3
141,513,1,141,1,3
141,459,1,141,1,3
150,380,1,150,1,3
168,146,1,168,1,3
139,517,1,139,1,3
139,787,1,139,1,3
159,479,1,159,1,3
141,139,1,141,1,3
140,515,1,140,1,3
141,252,1,141,1,3
139,460,1,139,1,3
145,425,1,145,1,3
158,481,1,158,1,3
136,643,1,136,1,3
195,136,1,195,1,3
179,122,1,179,1,3
173,646,1,173,1,3
153,784,1,153,1,3
171,243,1,171,1,3
198,135,1,198,1,3
157,132,1,157,1,3
181,482,1,181,1,3
187,139,1,187,1,3
179,780,1,179,1,3
155,669,1,155,1,3
148,500,1,148,1,3
129,702,1,129,1,3
129,461,1,129,1,3
176,886,1,176,1,3
176,621,1,176,1,3
167,605,1,167,1,3
193,137,1,193,1,3
160,427,1,160,1,3
164,69,1,164,1,3
157,594,1,157,1,3
158,116,1,158,1,3
180,415,1,180,1,3
165,532,1,165,1,3
165,415,1,165,1,3
165,354,1,165,1,3
205,110,1,205,1,3
205,45,1,205,1,3
191,422,1,191,1,3
198,479,1,198,1,3
198,551,1,198,1,3
204,354,1,204,1,3
164,725,1,164,1,3
164,570,1,164,1,3
164,782,1,164,1,3
194,115,1,194,1,3
207,109,1,207,1,3
207,437,1,207,1,3
190,665,1,190,1,3
190,138,1,190,1,3
212,552,1,212,1,3
217,831,1,217,1,3
211,467,1,211,1,3
222,916,1,222,1,3
229,45,1,229,1,3
214,775,1,214,1,3
217,119,1,217,1,3
217,127,1,217,1,3
220,493,1,220,1,3
235,530,1,235,1,3
232,773,1,232,1,3
243,853,1,243,1,3
244,615,1,244,1,3
241,627,1,241,1,3
225,796,1,225,1,3
238,505,1,238,1,3
247,1036,1,247,1,3
255,504,1,255,1,3
259,516,1,259,1,3
263,623,1,263,1,3
257,608,1,257,1,3
258,221,1,258,1,3
258,841,1,258,1,3
269,770,1,269,1,3
280,1030,1,280,1,3
277,479,1,277,1,3
285,623,1,285,1,3
285,656,1,285,1,3
286,620,1,286,1,3
283,632,1,283,1,3
287,703,1,287,1,3
273,613,1,273,1,3
284,654,1,284,1,3
284,626,1,284,1,3
294,605,1,294,1,3
295,387,1,295,1,3
295,730,1,295,1,3
295,776,1,295,1,3
297,374,1,297,1,3
304,595,1,304,1,3
305,435,1,305,1,3
306,684,1,306,1,3
300,347,1,300,1,3
312,769,1,312,1,3
320,747,1,320,1,3
315,350,1,315,1,3
323,398,1,323,1,3
313,390,1,313,1,3
302,749,1,302,1,3
328,518,1,328,1,3
328,746,1,328,1,3
314,770,1,314,1,3
341,329,1,341,1,3
342,440,1,342,1,3
318,421,1,318,1,3
324,379,1,324,1,3
324,671,1,324,1,3
333,705,1,333,1,3
346,796,1,346,1,3
350,452,1,350,1,3
357,622,1,357,1,3
357,859,1,357,1,3
352,650,1,352,1,3
355,324,1,355,1,3
332,342,1,332,1,3
364,722,1,364,1,3
364,480,1,364,1,3
366,468,1,366,1,3
366,819,1,366,1,3
370,638,1,370,1,3
351,429,1,351,1,3
365,575,1,365,1,3
365,769,1,365,1,3
371,444,1,371,1,3
377,506,1,377,1,3
386,479,1,386,1,3
373,627,1,373,1,3
373,455,1,373,1,3
381,564,1,381,1,3
379,792,1,379,1,3
388,593,1,388,1,3
388,291,1,388,1,3
391,393,1,391,1,3
394,348,1,394,1,3
394,326,1,394,1,3
396,789,1,396,1,3
396,469,1,396,1,3
399,650,1,399,1,3
400,1026,1,400,1,3
406,607,1,406,1,3
407,888,1,407,1,3
414,588,1,414,1,3
423,330,1,423,1,3
416,526,1,416,1,3
416,345,1,416,1,3
419,699,1,419,1,3
422,364,1,422,1,3
439,298,1,439,1,3
436,614,1,436,1,3
436,394,1,436,1,3
446,743,1,446,1,3
447,454,1,447,1,3
445,713,1,445,1,3
448,538,1,448,1,3
434,361,1,434,1,3
441,513,1,441,1,3
437,601,1,437,1,3
440,414,1,440,1,3
459,335,1,459,1,3
462,631,1,462,1,3
448,932,1,448,1,3
449,322,1,449,1,3
449,826,1,449,1,3
450,300,1,450,1,3
445,987,1,445,1,3
446,627,1,446,1,3
452,264,1,452,1,3
470,302,1,470,1,3
465,487,1,465,1,3
464,538,1,464,1,3
458,670,1,458,1,3
475,667,1,475,1,3
463,456,1,463,1,3
479,243,1,479,1,3
460,727,1,460,1,3
477,970,1,477,1,3
478,458,1,478,1,3
478,609,1,478,1,3
481,714,1,481,1,3
488,317,1,488,1,3
486,728,1,486,1,3
486,396,1,486,1,3
480,511,1,480,1,3
489,743,1,489,1,3
489,486,1,489,1,3
491,145,1,491,1,3
490,583,1,490,1,3
488,459,1,488,1,3
495,615,1,495,1,3
496,293,1,496,1,3
496,1015,1,496,1,3
500,511,1,500,1,3
505,472,1,505,1,3
501,628,1,501,1,3
506,461,1,506,1,3
506,669,1,506,1,3
513,548,1,513,1,3
507,591,1,507,1,3
508,336,1,508,1,3
508,462,1,508,1,3
503,682,1,503,1,3
514,968,1,514,1,3
503,143,1,503,1,3
509,473,1,509,1,3
522,696,1,522,1,3
516,233,1,516,1,3
