x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20,x21,x22,x23,x24,x25,x26,x27,x28,x29,x30,x31,x32
-0.0020749073,-0.00028675274,-0.00054263405,-1.2792588e-5,-0.0011049928,-0.000534051,-0.00027221098,0.0,-0.0020707292,-0.0006854158,-0.0011390669,-9.319988e-5,-0.00021613452,0.0010641761,0.0038643738,0.0,0.011005935,0.0108370725,0.012403479,0.0033757766,0.01713341,0.012528328,0.011074558,0.0,0.011760663,0.004511956,0.001530454,-0.0001275947,-0.0010198957,-0.0011303716,-0.0007270674,0.0
-0.0022470418,-0.00079172326,-0.0012209247,-0.00037483516,-0.00088508957,0.001539612,0.0045366907,0.0,0.011918016,0.010944401,0.012433972,0.016969565,0.0032401036,0.012338747,0.010764455,0.0,0.0113016935,0.0040006926,0.0011435301,-0.00022302795,-9.979379e-5,-0.0012297386,-0.000755492,0.0,-0.0022437426,-0.00030600448,-0.00059119676,-1.434169e-5,-0.0012077579,-0.00059876096,-0.00031902452,0.0
-0.0026466465,-0.0005960064,-0.000870801,-3.0103209e-5,-0.0015247787,-0.0007266018,-0.0003281132,0.0,-0.0026631171,-0.0006559667,-4.086236e-6,-0.002063827,-0.0004374157,-0.0008491481,0.0007177865,0.0,0.006767679,0.008484984,0.010942055,0.0031441245,0.016204795,0.012396786,0.011073206,0.0,0.015831891,0.008216445,0.0054002954,0.0010074548,0.0015512889,-0.0008210211,-0.0011744616,0.0
-0.0026018873,-0.0006854082,-0.0009338113,-3.6488032e-5,-0.0015683589,-0.000744047,-0.00032424481,0.0,-0.002677017,-0.0005946685,6.633403e-5,-0.0020890704,-0.00040009283,-0.0011612645,-2.6839509e-5,0.0,0.005204949,0.0075230785,0.010335183,0.0031903093,0.016001673,0.012348193,0.01106244,0.0,0.016555058,0.009011835,0.006613449,0.0014906216,0.0030055991,-0.00035557046,-0.0011435695,0.0
-0.0020994374,-0.00069442776,-0.0011908251,-0.00035792956,-0.0012905686,0.000878573,0.0036386591,0.0,0.011162241,0.010838621,0.012510667,0.01716925,0.0032666817,0.012562521,0.010940957,0.0,0.011476482,0.0039023054,0.0010573803,0.00086635206,-0.0012806904,-0.0011909103,-0.0007111372,0.0,-0.0021015957,-0.00027003305,-0.00053094607,-1.1291446e-5,-0.0011045968,-0.0005277598,-0.00026487006,0.0
-0.0024757343,-0.00029604122,-0.0006379938,-1.5095015e-5,-0.0013580399,-0.0007122359,-0.00042387517,0.0,-0.0025073756,-0.0010405967,-0.0012780793,-0.00046719206,0.0014370466,0.0031333668,0.006371169,0.0,0.014363288,0.011147138,0.01257346,0.0029456401,0.016758995,0.011707672,0.00951806,0.0,0.008680555,0.0016417884,-0.0003737273,-0.00046119074,-0.0019052419,-0.0013386749,-0.0006828059,0.0
-0.0023914704,-0.00062736194,-0.0012498732,-0.0002784309,-0.001957599,-0.00045119767,0.001407822,0.0,0.0078103845,0.0092117125,0.011434754,0.01675714,0.0030921788,0.012591229,0.011330858,0.0,0.014900223,0.0073797093,0.005473184,0.0006064266,0.0005208317,-0.0010004584,-0.0010321272,0.0,-0.0024077788,-0.00046194153,-0.00072638475,-2.1654902e-5,-0.0013332091,-0.00062914845,-0.00028856535,0.0
-0.002135889,-0.0009458424,-0.0004705985,-1.5164768e-5,0.0034028313,0.0058159837,0.008723871,0.0,0.015926063,0.011703523,0.012742575,0.016549302,0.003478285,0.01063541,0.007864277,0.0,0.005337083,0.00023753436,-0.000888322,-0.0003366457,-0.0017000225,0.00012605992,-0.00046560745,0.0,-0.0021409001,-0.00023491136,-0.0005564539,-1.4880903e-5,-0.0012267098,-0.00069518527,-0.0004848241,0.0
0.008186731,0.0014755703,-0.0005146407,-0.00046739326,-0.0021108384,-8.9886715e-5,-0.00076620135,0.0,-0.0028101034,-0.00036683556,-0.0007741837,-0.0015936259,-2.9393363e-5,-0.0008886205,-0.0005785026,0.0,-0.0028085741,-0.0012172394,-0.0011345469,-0.00032115352,0.0015523012,0.004473882,0.007469707,0.0,0.015209932,0.010886097,0.012283941,0.0028164757,0.016371276,0.011279948,0.009110605,0.0
-0.0020634516,-0.00055439054,0.0014103012,0.0010541476,0.008564036,0.009066122,0.0104058795,0.0,0.017620884,0.011305659,0.012205659,0.015349577,0.0032255368,0.008243158,0.0046912483,0.0,0.0017709299,-0.0009770314,-0.0013293803,-0.00023580414,-0.001833357,-0.000997423,0.0008704162,0.0,-0.0024336486,-0.00028489894,-0.0007110805,-2.7697894e-5,-0.0015392782,-0.0009896687,-0.00083891425,0.0
-0.0021836665,-0.0002281563,-0.00055502285,-1.35662995e-5,-0.0012406423,-0.0006941184,-0.00047314452,0.0,-0.0022117055,-0.0010222666,-0.00068832596,0.0015698522,0.0009665978,0.0066858456,0.00848235,0.0,0.016093947,0.011641137,0.012798066,0.003212425,0.016700268,0.010617165,0.0076301587,0.0,0.0051160385,-5.1018666e-5,-0.0010276884,-0.00034704775,-0.0017437276,-0.0010490454,-0.00045373326,0.0
-0.0024001503,-0.0005040577,-0.0011500078,-0.0001818159,-0.0020929507,-0.0011366255,-0.00014844027,0.0,0.0051006917,0.007509047,0.010506047,0.016500227,0.0030636424,0.012632118,0.011371394,0.0,0.016362121,0.008611696,0.007074939,0.0010545949,0.0018240217,-0.0006886783,-0.001121321,0.0,-0.0024122726,-0.00054687425,-0.0007855338,-2.5154852e-5,-0.0013716939,-0.00062724826,-0.00026139768,0.0
