x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20,x21,x22,x23,x24,x25,x26,x27,x28,x29,x30,x31,x32,x33,x34,x35,x36,x37
0.00000000,0.00000963,0.00016784,0.00003807,0.00021620,0.00004829,0.00045710,0.00081132,0.00035735,0.00010321,0.00008587,0.00024562,0.00040702,0.00018830,0.00011761,0.00007587,0.00000000,0.00000000,0.00010395,0.00035212,0.00037531,0.00012589,0.00012590,0.00024224,0.00019553,0.00042735,0.00038701,0.00029487,0.00033252,0.00003500,0.00000000,0.00000000,115.00000000,115.00000000,1.00000000,2.00000000,0.91929376
0.00000000,0.00000000,0.00000000,0.00000000,0.00005555,0.00006251,0.00005753,0.00000000,0.00006468,0.00006908,0.00006185,0.00000000,0.00000000,0.00002645,0.00015535,0.00010830,0.00009206,0.00003698,0.00002167,0.00002533,0.00002921,0.00002569,0.00007232,0.00003246,0.00004271,0.00004120,0.00000000,0.00005405,0.00002546,0.00006452,0.00002041,0.00000000,2.00000000,2.00000000,134.00000000,986.00000000,0.92645979
0.00000000,0.00011337,0.00029928,0.00033513,0.00045109,0.00000000,0.00035939,0.00056679,0.00007213,0.00078135,0.00059421,0.00003531,0.00020068,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00011264,0.00000000,0.00011622,0.00058238,0.00059608,0.00060411,0.00071837,0.00000000,0.00032369,0.00029776,0.00042135,0.00016678,0.00022527,1.00000000,1.00000000,104.00000000,1.00000000,0.98904914
0.00000000,0.00009224,0.00007095,0.00010149,0.00005099,0.00009555,0.00024080,0.00046234,0.00012275,0.00007517,0.00008179,0.00012693,0.00000000,0.00005010,0.00004813,0.00013830,0.00015803,0.00000000,0.00011806,0.00000000,0.00000000,0.00000000,0.00016698,0.00000000,0.00017554,0.00019494,0.00016438,0.00034109,0.00016539,0.00017225,0.00006541,0.00003663,1.00000000,1.00000000,268.00000000,1.00000000,0.92421657
0.00000000,0.00051538,0.00002576,0.00037005,0.00000000,0.00029907,0.00000000,0.00038947,0.00109783,0.00000000,0.00121319,0.00188447,0.00216583,0.00042041,0.00011295,0.00055369,0.00074099,0.00000000,0.00032171,0.00018597,0.00061728,0.00131719,0.00180199,0.00143117,0.00150921,0.00196056,0.00169986,0.00084735,0.00153736,0.00000000,0.00000000,0.00000000,1.00000000,1.00000000,2.00000000,221.00000000,0.97350520
0.00000000,0.00172676,0.00132204,0.00079738,0.00115998,0.00132745,0.00128200,0.00031763,0.00223999,0.00033232,0.00142448,0.00000000,0.00190652,0.00179620,0.00014254,0.00000000,0.00067943,0.00043592,0.00000000,0.00031789,0.00051217,0.00176093,0.00161977,0.00110237,0.00022674,0.00000000,0.00000000,0.00000000,0.00050671,0.00061441,0.00021790,0.00085657,67.00000000,67.00000000,1.00000000,2.00000000,0.88150603
0.00000000,0.00011279,0.00000000,0.00051820,0.00030869,0.00000000,0.00024504,0.00000000,0.00000000,0.00027814,0.00026122,0.00027577,0.00016682,0.00012700,0.00000000,0.00021827,0.00015624,0.00033282,0.00035005,0.00014534,0.00000000,0.00024529,0.00017740,0.00010212,0.00023381,0.00016228,0.00000000,0.00012283,0.00013886,0.00019611,0.00000000,0.00007703,244.00000000,244.00000000,719.00000000,1.00000000,0.82700801
0.00000000,0.00035712,0.00030931,0.00014715,0.00054269,0.00087434,0.00048559,0.00029348,0.00006697,0.00040618,0.00050465,0.00035822,0.00075479,0.00053481,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00075670,0.00036869,0.00049642,0.00071590,0.00049605,0.00047613,0.00065258,0.00020542,0.00100095,0.00033672,0.00162748,0.00161357,0.00086473,68.00000000,68.00000000,1.00000000,2.00000000,0.85361451
0.00000000,0.00024180,0.00070620,0.00141205,0.00169379,0.00055532,0.00051525,0.00012498,0.00008995,0.00077155,0.00012683,0.00052089,0.00053644,0.00000000,0.00020216,0.00000000,0.00000000,0.00005911,0.00000000,0.00000000,0.00000000,0.00057524,0.00060284,0.00052487,0.00060971,0.00065406,0.00059492,0.00107451,0.00155174,0.00132513,0.00038450,0.00016678,1.00000000,1.00000000,2.00000000,68.00000000,0.97338581
0.00000000,0.00001166,0.00001058,0.00000609,0.00002172,0.00007339,0.00012142,0.00016484,0.00019981,0.00005885,0.00010193,0.00002523,0.00000300,0.00000640,0.00000000,0.00007045,0.00001767,0.00001471,0.00011716,0.00007052,0.00002085,0.00003562,0.00004530,0.00002586,0.00004217,0.00004236,0.00007326,0.00006110,0.00008721,0.00007012,0.00000567,0.00000451,104.00000000,104.00000000,1.00000000,2.00000000,0.96532625
0.00000000,0.00059309,0.00139299,0.00065118,0.00011713,0.00056576,0.00048342,0.00046160,0.00027348,0.00011015,0.00011539,0.00000000,0.00068124,0.00011343,0.00068020,0.00022400,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00051169,0.00043348,0.00024690,0.00026725,0.00047061,0.00025792,0.00079969,0.00075024,0.00072033,0.00066461,0.00032208,2.00000000,2.00000000,63.00000000,625.00000000,0.86198688
0.00000000,0.00003939,0.00000000,0.00000000,0.00000000,0.00005616,0.00006033,0.00016216,0.00000000,0.00012415,0.00019079,0.00014525,0.00004270,0.00001413,0.00000000,0.00001754,0.00003039,0.00013708,0.00008477,0.00010717,0.00009095,0.00004011,0.00007193,0.00004084,0.00011159,0.00005258,0.00003327,0.00000000,0.00005921,0.00003432,0.00000000,0.00000000,263.00000000,263.00000000,1.00000000,137.00000000,0.97499561
0.00000000,0.00000000,0.00000000,0.00033954,0.00032778,0.00016226,0.00090812,0.00029065,0.00110237,0.00063946,0.00008484,0.00007204,0.00000000,0.00008065,0.00033452,0.00079907,0.00093589,0.00097371,0.00006561,0.00000000,0.00058691,0.00061136,0.00068268,0.00000000,0.00141922,0.00071601,0.00100483,0.00063670,0.00000000,0.00000000,0.00054210,0.00000000,1.00000000,1.00000000,2.00000000,169.00000000,0.97415322
0.00000000,0.00000000,0.00087297,0.00058255,0.00073004,0.00146168,0.00143210,0.00000000,0.00284116,0.00070254,0.00000000,0.00181079,0.00064551,0.00071241,0.00057624,0.00000000,0.00000000,0.00000000,0.00032853,0.00277539,0.00161872,0.00045145,0.00074371,0.00019330,0.00027406,0.00123643,0.00092353,0.00180610,0.00316158,0.00115441,0.00000000,0.00101971,1.00000000,1.00000000,71.00000000,1.00000000,0.98034239
0.00000000,0.00124120,0.00058441,0.00000000,0.00007479,0.00000000,0.00021889,0.00011383,0.00069901,0.00062854,0.00120592,0.00052028,0.00064356,0.00043423,0.00015018,0.00022787,0.00047563,0.00000000,0.00033038,0.00024903,0.00000000,0.00113425,0.00000000,0.00092139,0.00112988,0.00095838,0.00066416,0.00099050,0.00060634,0.00009814,0.00022985,0.00019650,1.00000000,1.00000000,122.00000000,1.00000000,0.86536205
