x1,x2,x3,x4,x5,x6
61,205,1,61,2,2
183,234,1,183,2,2
183,241,1,183,2,2
152,298,1,152,2,2
100,240,1,100,2,2
113,398,1,113,2,2
143,329,1,143,2,2
107,277,1,107,2,2
54,501,1,54,2,2
122,427,1,122,2,2
249,506,1,249,2,2
45,189,1,45,2,2
38,231,1,38,2,2
153,218,1,153,2,2
69,408,1,69,2,2
71,70,1,71,2,2
47,231,1,47,2,2
125,246,1,125,2,2
130,460,1,130,2,2
167,353,1,167,2,2
150,174,1,150,2,2
149,188,1,149,2,2
50,237,1,50,2,2
59,335,1,59,2,2
203,304,1,203,2,2
172,220,1,172,2,2
154,343,1,154,2,2
142,326,1,142,2,2
244,364,1,244,2,2
49,199,1,49,2,2
61,486,1,61,2,2
62,74,1,62,2,2
104,55,1,104,2,2
118,265,1,118,2,2
233,244,1,233,2,2
74,236,1,74,2,2
210,350,1,210,2,2
158,176,1,158,2,2
212,263,1,212,2,2
212,165,1,212,2,2
223,357,1,223,2,2
160,211,1,160,2,2
97,58,1,97,2,2
96,212,1,96,2,2
177,326,1,177,2,2
177,227,1,177,2,2
103,178,1,103,2,2
95,334,1,95,2,2
209,173,1,209,2,2
86,122,1,86,2,2
84,303,1,84,2,2
88,443,1,88,2,2
88,311,1,88,2,2
90,61,1,90,2,2
187,228,1,187,2,2
179,312,1,179,2,2
71,230,1,71,2,2
71,257,1,71,2,2
219,301,1,219,2,2
220,170,1,220,2,2
129,304,1,129,2,2
225,404,1,225,2,2
225,414,1,225,2,2
224,467,1,224,2,2
225,161,1,225,2,2
80,240,1,80,2,2
80,214,1,80,2,2
79,242,1,79,2,2
80,66,1,80,2,2
239,486,1,239,2,2
194,297,1,194,2,2
194,240,1,194,2,2
230,456,1,230,2,2
231,364,1,231,2,2
64,73,1,64,2,2
65,231,1,65,2,2
246,73,1,246,2,2
147,365,1,147,2,2
147,404,1,147,2,2
148,302,1,148,2,2
148,194,1,148,2,2
258,109,1,258,2,2
252,72,1,252,2,2
252,342,1,252,2,2
266,124,1,266,2,2
261,71,1,261,2,2
261,348,1,261,2,2
