x1,x2,x3,x4,x5,x6
708,330,1,708,2,3
709,194,1,709,2,3
706,457,1,706,2,3
704,54,1,704,2,3
703,277,1,703,2,3
733,116,1,733,2,3
710,171,1,710,2,3
711,148,1,711,2,3
705,351,1,705,2,3
740,184,1,740,2,3
740,198,1,740,2,3
718,368,1,718,2,3
747,364,1,747,2,3
740,399,1,740,2,3
742,54,1,742,2,3
729,424,1,729,2,3
757,470,1,757,2,3
771,99,1,771,2,3
753,442,1,753,2,3
761,66,1,761,2,3
769,170,1,769,2,3
770,269,1,770,2,3
770,157,1,770,2,3
755,134,1,755,2,3
754,309,1,754,2,3
755,100,1,755,2,3
782,49,1,782,2,3
781,303,1,781,2,3
787,97,1,787,2,3
780,87,1,780,2,3
779,254,1,779,2,3
792,267,1,792,2,3
803,130,1,803,2,3
809,95,1,809,2,3
799,187,1,799,2,3
796,255,1,796,2,3
811,266,1,811,2,3
823,200,1,823,2,3
813,366,1,813,2,3
830,149,1,830,2,3
806,96,1,806,2,3
798,210,1,798,2,3
817,68,1,817,2,3
820,331,1,820,2,3
818,217,1,818,2,3
837,63,1,837,2,3
827,184,1,827,2,3
833,92,1,833,2,3
845,272,1,845,2,3
858,437,1,858,2,3
847,166,1,847,2,3
848,225,1,848,2,3
850,212,1,850,2,3
850,91,1,850,2,3
863,332,1,863,2,3
887,135,1,887,2,3
868,90,1,868,2,3
869,110,1,869,2,3
872,417,1,872,2,3
889,126,1,889,2,3
898,331,1,898,2,3
892,75,1,892,2,3
884,270,1,884,2,3
906,492,1,906,2,3
895,470,1,895,2,3
904,311,1,904,2,3
904,396,1,904,2,3
880,481,1,880,2,3
885,212,1,885,2,3
886,194,1,886,2,3
908,175,1,908,2,3
912,192,1,912,2,3
912,447,1,912,2,3
912,460,1,912,2,3
66,346,2,1026,2,3
77,335,2,1037,2,3
54,416,2,1014,2,3
56,147,2,1016,2,3
57,151,2,1017,2,3
61,258,2,1021,2,3
83,273,2,1043,2,3
58,309,2,1018,2,3
57,276,2,1017,2,3
81,413,2,1041,2,3
79,426,2,1039,2,3
90,220,2,1050,2,3
89,183,2,1049,2,3
102,64,2,1062,2,3
101,94,2,1061,2,3
87,325,2,1047,2,3
49,117,2,1009,2,3
49,417,2,1009,2,3
49,86,2,1009,2,3
49,320,2,1009,2,3
49,345,2,1009,2,3
49,387,2,1009,2,3
49,400,2,1009,2,3
49,180,2,1009,2,3
115,177,2,1075,2,3
110,374,2,1070,2,3
110,347,2,1070,2,3
112,408,2,1072,2,3
118,130,2,1078,2,3
106,392,2,1066,2,3
108,230,2,1068,2,3
124,418,2,1084,2,3
124,96,2,1084,2,3
121,373,2,1081,2,3
121,430,2,1081,2,3
121,208,2,1081,2,3
134,417,2,1094,2,3
126,49,2,1086,2,3
130,254,2,1090,2,3
131,85,2,1091,2,3
148,147,2,1108,2,3
162,428,2,1122,2,3
154,389,2,1114,2,3
160,165,2,1120,2,3
137,156,2,1097,2,3
137,331,2,1097,2,3
138,294,2,1098,2,3
