x1,x2,x3,x4,x5,x6
61,118,1,61,1,2
57,120,1,57,1,2
57,366,1,57,1,2
61,820,1,61,1,2
62,567,1,62,1,2
85,710,1,85,1,2
54,122,1,54,1,2
77,310,1,77,1,2
77,108,1,77,1,2
56,846,1,56,1,2
79,107,1,79,1,2
79,636,1,79,1,2
64,299,1,64,1,2
64,275,1,64,1,2
64,116,1,64,1,2
69,316,1,69,1,2
70,106,1,70,1,2
71,646,1,71,1,2
71,535,1,71,1,2
71,374,1,71,1,2
71,112,1,71,1,2
124,628,1,124,1,2
51,432,1,51,1,2
51,731,1,51,1,2
59,119,1,59,1,2
67,114,1,67,1,2
66,985,1,66,1,2
66,108,1,66,1,2
82,1015,1,82,1,2
83,410,1,83,1,2
108,116,1,108,1,2
93,565,1,93,1,2
47,126,1,47,1,2
46,709,1,46,1,2
60,112,1,60,1,2
105,84,1,105,1,2
80,353,1,80,1,2
73,1050,1,73,1,2
89,426,1,89,1,2
81,99,1,81,1,2
110,144,1,110,1,2
87,746,1,87,1,2
76,102,1,76,1,2
76,451,1,76,1,2
111,604,1,111,1,2
69,253,1,69,1,2
69,113,1,69,1,2
75,410,1,75,1,2
97,375,1,97,1,2
94,410,1,94,1,2
94,627,1,94,1,2
94,91,1,94,1,2
94,98,1,94,1,2
94,887,1,94,1,2
95,180,1,95,1,2
90,331,1,90,1,2
89,94,1,89,1,2
89,101,1,89,1,2
74,103,1,74,1,2
52,680,1,52,1,2
52,340,1,52,1,2
52,500,1,52,1,2
52,432,1,52,1,2
96,199,1,96,1,2
96,97,1,96,1,2
34,134,1,34,1,2
123,882,1,123,1,2
124,275,1,124,1,2
112,80,1,112,1,2
112,211,1,112,1,2
67,1050,1,67,1,2
68,46,1,68,1,2
67,409,1,67,1,2
68,107,1,68,1,2
39,931,1,39,1,2
39,131,1,39,1,2
91,975,1,91,1,2
91,1050,1,91,1,2
91,341,1,91,1,2
91,93,1,91,1,2
117,413,1,117,1,2
122,74,1,122,1,2
100,166,1,100,1,2
121,238,1,121,1,2
120,139,1,120,1,2
120,354,1,120,1,2
125,645,1,125,1,2
126,86,1,126,1,2
42,123,1,42,1,2
42,129,1,42,1,2
42,754,1,42,1,2
42,425,1,42,1,2
37,132,1,37,1,2
84,341,1,84,1,2
84,104,1,84,1,2
83,643,1,83,1,2
83,741,1,83,1,2
84,311,1,84,1,2
109,647,1,109,1,2
41,220,1,41,1,2
115,93,1,115,1,2
115,240,1,115,1,2
102,86,1,102,1,2
49,199,1,49,1,2
49,125,1,49,1,2
36,425,1,36,1,2
99,88,1,99,1,2
99,95,1,99,1,2
98,756,1,98,1,2
40,668,1,40,1,2
40,777,1,40,1,2
40,124,1,40,1,2
44,128,1,44,1,2
107,83,1,107,1,2
106,522,1,106,1,2
106,424,1,106,1,2
106,960,1,106,1,2
102,617,1,102,1,2
102,812,1,102,1,2
119,200,1,119,1,2
119,546,1,119,1,2
34,219,1,34,1,2
109,82,1,109,1,2
108,162,1,108,1,2
49,1004,1,49,1,2
35,548,1,35,1,2
35,501,1,35,1,2
126,621,1,126,1,2
128,332,1,128,1,2
134,225,1,134,1,2
131,559,1,131,1,2
131,134,1,131,1,2
129,274,1,129,1,2
130,84,1,130,1,2
130,69,1,130,1,2
140,606,1,140,1,2
133,360,1,133,1,2
132,68,1,132,1,2
132,264,1,132,1,2
132,748,1,132,1,2
136,224,1,136,1,2
139,234,1,139,1,2
142,240,1,142,1,2
151,726,1,151,1,2
140,63,1,140,1,2
145,417,1,145,1,2
138,79,1,138,1,2
138,64,1,138,1,2
153,363,1,153,1,2
144,239,1,144,1,2
145,75,1,145,1,2
145,60,1,145,1,2
150,210,1,150,1,2
148,232,1,148,1,2
148,531,1,148,1,2
160,51,1,160,1,2
143,742,1,143,1,2
143,360,1,143,1,2
143,539,1,143,1,2
144,141,1,144,1,2
164,522,1,164,1,2
147,190,1,147,1,2
147,59,1,147,1,2
151,896,1,151,1,2
158,208,1,158,1,2
157,1048,1,157,1,2
158,397,1,158,1,2
169,61,1,169,1,2
179,131,1,179,1,2
171,44,1,171,1,2
182,493,1,182,1,2
155,54,1,155,1,2
156,579,1,156,1,2
156,553,1,156,1,2
158,513,1,158,1,2
166,47,1,166,1,2
166,63,1,166,1,2
183,468,1,183,1,2
167,172,1,167,1,2
167,498,1,167,1,2
173,188,1,173,1,2
173,43,1,173,1,2
173,565,1,173,1,2
168,46,1,168,1,2
161,207,1,161,1,2
156,176,1,156,1,2
156,69,1,156,1,2
156,209,1,156,1,2
190,511,1,190,1,2
190,148,1,190,1,2
165,666,1,165,1,2
187,410,1,187,1,2
163,504,1,163,1,2
163,989,1,163,1,2
189,557,1,189,1,2
188,920,1,188,1,2
184,165,1,184,1,2
172,59,1,172,1,2
172,149,1,172,1,2
