x1,x2,x3,x4,x5,x6
335,55,1,335,3,2
299,114,1,299,3,2
298,173,1,298,3,2
102,94,1,102,3,2
245,136,1,245,3,2
301,234,1,301,3,2
42,81,1,42,3,2
391,44,1,391,3,2
80,101,1,80,3,2
228,183,1,228,3,2
99,111,1,99,3,2
259,99,1,259,3,2
38,213,1,38,3,2
354,229,1,354,3,2
54,114,1,54,3,2
54,174,1,54,3,2
108,112,1,108,3,2
85,53,1,85,3,2
254,173,1,254,3,2
275,234,1,275,3,2
340,76,1,340,3,2
339,128,1,339,3,2
370,93,1,370,3,2
370,200,1,370,3,2
64,89,1,64,3,2
343,135,1,343,3,2
138,146,1,138,3,2
315,150,1,315,3,2
378,155,1,378,3,2
378,67,1,378,3,2
241,234,1,241,3,2
240,167,1,240,3,2
278,214,1,278,3,2
278,221,1,278,3,2
334,182,1,334,3,2
334,96,1,334,3,2
416,75,1,416,3,2
69,147,1,69,3,2
195,234,1,195,3,2
195,106,1,195,3,2
225,220,1,225,3,2
444,207,1,444,3,2
432,167,1,432,3,2
429,219,1,429,3,2
91,204,1,91,3,2
89,110,1,89,3,2
144,116,1,144,3,2
143,174,1,143,3,2
317,171,1,317,3,2
407,184,1,407,3,2
410,109,1,410,3,2
114,127,1,114,3,2
160,57,1,160,3,2
271,89,1,271,3,2
271,143,1,271,3,2
82,68,1,82,3,2
81,206,1,81,3,2
80,225,1,80,3,2
400,106,1,400,3,2
399,128,1,399,3,2
93,231,1,93,3,2
322,73,1,322,3,2
321,227,1,321,3,2
53,47,1,53,3,2
51,234,1,51,3,2
353,176,1,353,3,2
350,151,1,350,3,2
350,219,1,350,3,2
394,49,1,394,3,2
105,39,1,105,3,2
103,174,1,103,3,2
105,60,1,105,3,2
68,94,1,68,3,2
67,79,1,67,3,2
65,209,1,65,3,2
289,227,1,289,3,2
289,234,1,289,3,2
211,160,1,211,3,2
219,77,1,219,3,2
248,180,1,248,3,2
249,159,1,249,3,2
248,49,1,248,3,2
287,108,1,287,3,2
435,56,1,435,3,2
436,209,1,436,3,2
444,77,1,444,3,2
444,98,1,444,3,2
443,107,1,443,3,2
444,165,1,444,3,2
150,113,1,150,3,2
200,188,1,200,3,2
198,90,1,198,3,2
153,189,1,153,3,2
153,196,1,153,3,2
168,212,1,168,3,2
170,132,1,170,3,2
185,215,1,185,3,2
207,72,1,207,3,2
206,160,1,206,3,2
127,127,1,127,3,2
126,81,1,126,3,2
127,157,1,127,3,2
127,114,1,127,3,2
412,101,1,412,3,2
411,166,1,411,3,2
414,92,1,414,3,2
39,168,2,519,3,2
51,47,2,531,3,2
44,163,2,524,3,2
93,204,2,573,3,2
75,74,2,555,3,2
139,146,2,619,3,2
131,94,2,611,3,2
129,157,2,609,3,2
54,72,2,534,3,2
54,234,2,534,3,2
40,214,2,520,3,2
126,127,2,606,3,2
134,141,2,614,3,2
161,166,2,641,3,2
65,128,2,545,3,2
181,136,2,661,3,2
184,97,2,664,3,2
91,110,2,571,3,2
93,64,2,573,3,2
106,112,2,586,3,2
105,39,2,585,3,2
114,127,2,594,3,2
102,94,2,582,3,2
103,174,2,583,3,2
143,175,2,623,3,2
280,214,2,760,3,2
280,221,2,760,3,2
187,152,2,667,3,2
249,159,2,729,3,2
250,209,2,730,3,2
155,189,2,635,3,2
156,183,2,636,3,2
69,79,2,549,3,2
67,172,2,547,3,2
207,72,2,687,3,2
291,234,2,771,3,2
150,113,2,630,3,2
229,183,2,709,3,2
165,87,2,645,3,2
180,185,2,660,3,2
82,215,2,562,3,2
82,225,2,562,3,2
83,68,2,563,3,2
82,206,2,562,3,2
84,53,2,564,3,2
240,167,2,720,3,2
210,168,2,690,3,2
207,160,2,687,3,2
243,137,2,723,3,2
244,234,2,724,3,2
242,110,2,722,3,2
248,180,2,728,3,2
245,136,2,725,3,2
200,51,2,680,3,2
201,188,2,681,3,2
197,90,2,677,3,2
171,132,2,651,3,2
169,206,2,649,3,2
271,143,2,751,3,2
271,90,2,751,3,2
270,234,2,750,3,2
308,193,2,788,3,2
349,151,2,829,3,2
393,49,2,873,3,2
298,173,2,778,3,2
331,136,2,811,3,2
315,150,2,795,3,2
315,184,2,795,3,2
406,142,2,886,3,2
377,155,2,857,3,2
334,55,2,814,3,2
334,182,2,814,3,2
334,96,2,814,3,2
353,176,2,833,3,2
317,171,2,797,3,2
320,234,2,800,3,2
356,229,2,836,3,2
322,226,2,802,3,2
322,50,2,802,3,2
432,166,2,912,3,2
434,56,2,914,3,2
338,128,2,818,3,2
339,76,2,819,3,2
444,207,2,924,3,2
444,64,2,924,3,2
389,128,2,869,3,2
40,168,3,1000,3,2
399,106,2,879,3,2
397,128,2,877,3,2
410,101,2,890,3,2
429,219,2,909,3,2
38,81,3,998,3,2
412,93,2,892,3,2
442,98,2,922,3,2
442,107,2,922,3,2
52,72,3,1012,3,2
49,48,3,1009,3,2
45,163,3,1005,3,2
79,135,3,1039,3,2
66,130,3,1026,3,2
68,172,3,1028,3,2
61,88,3,1021,3,2
69,80,3,1029,3,2
69,209,3,1029,3,2
70,153,3,1030,3,2
104,174,3,1064,3,2
84,157,3,1044,3,2
91,111,3,1051,3,2
82,53,3,1042,3,2
82,70,3,1042,3,2
83,206,3,1043,3,2
83,214,3,1043,3,2
100,225,3,1060,3,2
92,65,3,1052,3,2
94,204,3,1054,3,2
115,127,3,1075,3,2
114,119,3,1074,3,2
110,128,3,1070,3,2
131,157,3,1091,3,2
144,175,3,1104,3,2
126,81,3,1086,3,2
123,127,3,1083,3,2
172,131,3,1132,3,2
170,206,3,1130,3,2
140,146,3,1100,3,2
140,97,3,1100,3,2
162,166,3,1122,3,2
156,189,3,1116,3,2
157,183,3,1117,3,2
156,80,3,1116,3,2
158,59,3,1118,3,2
181,185,3,1141,3,2
181,136,3,1141,3,2
210,168,3,1170,3,2
247,159,3,1207,3,2
219,114,3,1179,3,2
200,50,3,1160,3,2
202,188,3,1162,3,2
228,220,3,1188,3,2
229,183,3,1189,3,2
207,73,3,1167,3,2
207,160,3,1167,3,2
252,209,3,1212,3,2
188,214,3,1148,3,2
188,153,3,1148,3,2
187,116,3,1147,3,2
271,143,3,1231,3,2
195,107,3,1155,3,2
196,118,3,1156,3,2
197,90,3,1157,3,2
281,214,3,1241,3,2
277,234,3,1237,3,2
299,173,3,1259,3,2
338,129,3,1298,3,2
310,72,3,1270,3,2
293,226,3,1253,3,2
293,234,3,1253,3,2
241,110,3,1201,3,2
242,137,3,1202,3,2
240,167,3,1200,3,2
357,227,3,1317,3,2
246,234,3,1206,3,2
245,121,3,1205,3,2
321,50,3,1281,3,2
349,140,3,1309,3,2
349,151,3,1309,3,2
374,183,3,1334,3,2
405,142,3,1365,3,2
368,93,3,1328,3,2
368,100,3,1328,3,2
388,128,3,1348,3,2
388,45,3,1348,3,2
331,136,3,1291,3,2
333,55,3,1293,3,2
392,50,3,1352,3,2
444,206,3,1404,3,2
444,165,3,1404,3,2
409,101,3,1369,3,2
407,110,3,1367,3,2
406,183,3,1366,3,2
411,93,3,1371,3,2
315,150,3,1275,3,2
317,171,3,1277,3,2
397,106,3,1357,3,2
396,128,3,1356,3,2
377,155,3,1337,3,2
376,68,3,1336,3,2
432,56,3,1392,3,2
431,166,3,1391,3,2
440,107,3,1400,3,2
442,65,3,1402,3,2
444,39,3,1404,3,2
441,98,3,1401,3,2
40,170,4,1480,3,2
38,82,4,1478,3,2
48,48,4,1488,3,2
49,72,4,1489,3,2
46,164,4,1486,3,2
46,213,4,1486,3,2
62,89,4,1502,3,2
59,234,4,1499,3,2
67,130,4,1507,3,2
66,209,4,1506,3,2
58,82,4,1498,3,2
86,225,4,1526,3,2
85,206,4,1525,3,2
72,95,4,1512,3,2
71,148,4,1511,3,2
71,154,4,1511,3,2
93,111,4,1533,3,2
95,172,4,1535,3,2
110,128,4,1550,3,2
107,176,4,1547,3,2
92,66,4,1532,3,2
115,127,4,1555,3,2
100,63,4,1540,3,2
140,97,4,1580,3,2
128,58,4,1568,3,2
129,94,4,1569,3,2
102,39,4,1542,3,2
103,95,4,1543,3,2
122,154,4,1562,3,2
133,157,4,1573,3,2
145,174,4,1585,3,2
177,207,4,1617,3,2
158,189,4,1598,3,2
156,80,4,1596,3,2
157,170,4,1597,3,2
174,213,4,1614,3,2
174,131,4,1614,3,2
207,160,4,1647,3,2
172,206,4,1612,3,2
190,215,4,1630,3,2
211,167,4,1651,3,2
196,118,4,1636,3,2
124,128,4,1564,3,2
125,115,4,1565,3,2
203,188,4,1643,3,2
194,107,4,1634,3,2
200,50,4,1640,3,2
294,226,4,1734,3,2
219,77,4,1659,3,2
254,209,4,1694,3,2
239,167,4,1679,3,2
280,234,4,1720,3,2
282,214,4,1722,3,2
283,221,4,1723,3,2
231,183,4,1671,3,2
229,220,4,1669,3,2
243,137,4,1683,3,2
241,110,4,1681,3,2
246,71,4,1686,3,2
247,136,4,1687,3,2
247,175,4,1687,3,2
270,143,4,1710,3,2
315,151,4,1755,3,2
331,136,4,1771,3,2
250,180,4,1690,3,2
252,130,4,1692,3,2
248,234,4,1688,3,2
267,153,4,1707,3,2
349,140,4,1789,3,2
318,171,4,1758,3,2
377,155,4,1817,3,2
259,153,4,1699,3,2
309,73,4,1749,3,2
383,234,4,1823,3,2
359,227,4,1799,3,2
298,114,4,1738,3,2
298,200,4,1738,3,2
300,173,4,1740,3,2
332,56,4,1772,3,2
336,107,4,1776,3,2
337,129,4,1777,3,2
372,200,4,1812,3,2
396,106,4,1836,3,2
390,50,4,1830,3,2
398,44,4,1838,3,2
398,67,4,1838,3,2
398,77,4,1838,3,2
387,45,4,1827,3,2
401,229,4,1841,3,2
407,101,4,1847,3,2
406,110,4,1846,3,2
410,166,4,1850,3,2
411,76,4,1851,3,2
409,93,4,1849,3,2
406,110,4,1846,3,2
407,101,4,1847,3,2
409,93,4,1849,3,2
411,76,4,1851,3,2
410,166,4,1850,3,2
411,76,4,1851,3,2
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
