x1,x2,x3,x4,x5,x6
87,209,1,87,3,3
87,197,1,87,3,3
88,186,1,88,3,3
207,93,1,207,3,3
58,116,1,58,3,3
74,97,1,74,3,3
314,161,1,314,3,3
345,51,1,345,3,3
334,171,1,334,3,3
94,81,1,94,3,3
211,190,1,211,3,3
192,182,1,192,3,3
194,98,1,194,3,3
430,51,1,430,3,3
217,51,1,217,3,3
120,206,1,120,3,3
122,88,1,122,3,3
215,178,1,215,3,3
326,103,1,326,3,3
325,78,1,325,3,3
178,146,1,178,3,3
250,57,1,250,3,3
248,96,1,248,3,3
379,153,1,379,3,3
369,138,1,369,3,3
388,183,1,388,3,3
307,123,1,307,3,3
338,220,1,338,3,3
427,129,1,427,3,3
322,93,1,322,3,3
415,135,1,415,3,3
98,159,1,98,3,3
143,57,1,143,3,3
103,56,1,103,3,3
263,133,1,263,3,3
259,104,1,259,3,3
185,51,1,185,3,3
137,69,1,137,3,3
296,188,1,296,3,3
293,105,1,293,3,3
381,152,1,381,3,3
278,162,1,278,3,3
232,175,1,232,3,3
234,55,1,234,3,3
108,139,1,108,3,3
110,77,1,110,3,3
330,186,1,330,3,3
413,177,1,413,3,3
406,220,1,406,3,3
393,137,1,393,3,3
393,164,1,393,3,3
274,129,1,274,3,3
275,132,1,275,3,3
422,116,1,422,3,3
422,68,1,422,3,3
352,80,1,352,3,3
352,168,1,352,3,3
351,102,1,351,3,3
386,113,1,386,3,3
387,151,1,387,3,3
387,220,1,387,3,3
51,201,1,51,3,3
51,137,1,51,3,3
51,89,1,51,3,3
51,102,1,51,3,3
51,188,1,51,3,3
234,56,2,714,3,3
207,93,2,687,3,3
180,146,2,660,3,3
148,212,2,628,3,3
89,186,2,569,3,3
307,123,2,787,3,3
142,57,2,622,3,3
211,191,2,691,3,3
122,206,2,602,3,3
120,90,2,600,3,3
263,133,2,743,3,3
110,77,2,590,3,3
109,139,2,589,3,3
96,81,2,576,3,3
90,197,2,570,3,3
90,209,2,570,3,3
293,106,2,773,3,3
249,58,2,729,3,3
248,96,2,728,3,3
326,103,2,806,3,3
322,93,2,802,3,3
324,97,2,804,3,3
297,188,2,777,3,3
217,51,2,697,3,3
216,178,2,696,3,3
99,159,2,579,3,3
101,57,2,581,3,3
259,104,2,739,3,3
274,129,2,754,3,3
185,51,2,665,3,3
193,98,2,673,3,3
278,162,2,758,3,3
353,168,2,833,3,3
340,220,2,820,3,3
51,137,2,531,3,3
51,174,2,531,3,3
51,188,2,531,3,3
51,103,2,531,3,3
51,201,2,531,3,3
51,216,2,531,3,3
51,90,2,531,3,3
350,103,2,830,3,3
351,80,2,831,3,3
368,138,2,848,3,3
371,168,2,851,3,3
382,152,2,862,3,3
387,183,2,867,3,3
386,113,2,866,3,3
393,164,2,873,3,3
392,137,2,872,3,3
379,153,2,859,3,3
430,51,2,910,3,3
426,129,2,906,3,3
414,135,2,894,3,3
420,69,2,900,3,3
421,116,2,901,3,3
54,216,3,1014,3,3
110,139,3,1070,3,3
60,116,3,1020,3,3
51,201,3,1011,3,3
51,216,3,1011,3,3
51,138,3,1011,3,3
51,76,3,1011,3,3
51,90,3,1011,3,3
51,174,3,1011,3,3
51,188,3,1011,3,3
51,57,3,1011,3,3
92,209,3,1052,3,3
109,78,3,1069,3,3
124,206,3,1084,3,3
120,90,3,1080,3,3
90,186,3,1050,3,3
88,198,3,1048,3,3
141,56,3,1101,3,3
181,146,3,1141,3,3
100,159,3,1060,3,3
99,81,3,1059,3,3
101,57,3,1061,3,3
192,98,3,1152,3,3
217,51,3,1177,3,3
217,178,3,1177,3,3
182,196,3,1142,3,3
185,51,3,1145,3,3
150,212,3,1110,3,3
259,104,3,1219,3,3
274,129,3,1234,3,3
248,96,3,1208,3,3
233,175,3,1193,3,3
234,57,3,1194,3,3
212,191,3,1172,3,3
263,133,3,1223,3,3
207,93,3,1167,3,3
278,162,3,1238,3,3
306,123,3,1266,3,3
298,188,3,1258,3,3
293,107,3,1253,3,3
326,104,3,1286,3,3
321,92,3,1281,3,3
334,171,3,1294,3,3
350,80,3,1310,3,3
351,168,3,1311,3,3
349,102,3,1309,3,3
392,163,3,1352,3,3
391,137,3,1351,3,3
416,177,3,1376,3,3
412,176,3,1372,3,3
382,152,3,1342,3,3
430,51,3,1390,3,3
371,168,3,1331,3,3
367,138,3,1327,3,3
388,183,3,1348,3,3
389,220,3,1349,3,3
341,220,3,1301,3,3
338,116,3,1298,3,3
407,220,3,1367,3,3
419,69,3,1379,3,3
420,116,3,1380,3,3
385,86,3,1345,3,3
384,113,3,1344,3,3
424,129,3,1384,3,3
90,198,4,1530,3,3
91,186,4,1531,3,3
101,159,4,1541,3,3
98,82,4,1538,3,3
61,116,4,1501,3,3
51,57,4,1491,3,3
51,90,4,1491,3,3
126,206,4,1566,3,3
51,202,4,1491,3,3
51,216,4,1491,3,3
51,174,4,1491,3,3
51,189,4,1491,3,3
51,139,4,1491,3,3
110,139,4,1550,3,3
110,78,4,1550,3,3
120,90,4,1560,3,3
140,56,4,1580,3,3
182,146,4,1622,3,3
184,51,4,1624,3,3
208,94,4,1648,3,3
217,51,4,1657,3,3
213,191,4,1653,3,3
218,178,4,1658,3,3
234,58,4,1674,3,3
233,175,4,1673,3,3
263,134,4,1703,3,3
274,129,4,1714,3,3
259,104,4,1699,3,3
293,109,4,1733,3,3
326,105,4,1766,3,3
247,96,4,1687,3,3
248,57,4,1688,3,3
320,92,4,1760,3,3
300,189,4,1740,3,3
