x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20,x21,x22,x23,x24,x25,x26,x27,x28,x29,x30,x31,x32,x33,x34,x35,x36,x37,x38
0.00115839,0.00173853,0.00197859,0.00068553,0.00281829,0.00233986,0.00228454,0.00000000,0.00292095,0.00217942,0.00195691,0.00221715,0.00063364,0.00126817,0.00149246,0.00000000,0.00211405,0.00235851,0.00265539,0.00085845,0.00383557,0.00289776,0.00262638,0.00000000,0.00362727,0.00234440,0.00206633,0.00072855,0.00218175,0.00093748,0.00088670,0.00000000,2050.00000000,1217.00000000,1.00000000,2.00000000,2050.00000000,0.59196413
0.00421132,0.00359173,0.00387485,0.00121357,0.00516802,0.00356662,0.00325099,0.00000000,0.00277284,0.00278528,0.00299100,0.00595791,0.00213887,0.00490223,0.00578325,0.00000000,0.00716003,0.00612699,0.00613724,0.00190675,0.00809042,0.00568964,0.00542065,0.00000000,0.00614279,0.00481896,0.00421211,0.00172467,0.00540181,0.00324432,0.00313217,0.00000000,1867.00000000,1283.00000000,1.00000000,2.00000000,1867.00000000,0.56464368
0.00260370,0.00150723,0.00083261,0.00055473,0.00181432,0.00167462,0.00246820,0.00000000,0.00370228,0.00306721,0.00322391,0.00394621,0.00082687,0.00321145,0.00315532,0.00000000,0.00341626,0.00269199,0.00236431,0.00116027,0.00391347,0.00288253,0.00334097,0.00000000,0.00439226,0.00379564,0.00398660,0.00124710,0.00538314,0.00375064,0.00340673,0.00000000,2103.00000000,1200.00000000,1.00000000,2.00000000,2103.00000000,0.59129834
-0.00123193,-0.00147248,-0.00107498,-0.00086781,-0.00243749,-0.00170818,-0.00233183,0.00000000,-0.00306818,-0.00271463,-0.00271131,-0.00421339,-0.00111244,-0.00325847,-0.00354798,0.00000000,-0.00458960,-0.00378999,-0.00340261,-0.00131961,-0.00412047,-0.00225863,-0.00226703,0.00000000,-0.00231068,-0.00263486,-0.00236885,-0.00092962,-0.00290225,-0.00171387,-0.00158032,0.00000000,109.00000000,1609.00000000,1.00000000,2.00000000,109.00000000,0.59204847
-0.00118992,-0.00111916,-0.00137193,-0.00050536,-0.00229977,-0.00173673,-0.00162481,0.00000000,-0.00176090,-0.00103610,-0.00109253,-0.00199072,-0.00070569,-0.00147135,-0.00163592,0.00000000,-0.00146399,-0.00108044,-0.00089402,-0.00023020,-0.00100939,-0.00087819,-0.00096214,0.00000000,-0.00092876,-0.00096840,-0.00094952,-0.00058650,-0.00178977,-0.00113510,-0.00116463,0.00000000,2289.00000000,1773.00000000,1.00000000,2.00000000,2289.00000000,0.55745769
-0.00207181,-0.00215791,-0.00230757,-0.00104838,-0.00358058,-0.00258919,-0.00291573,0.00000000,-0.00362141,-0.00307000,-0.00286980,-0.00372507,-0.00077367,-0.00202967,-0.00165758,0.00000000,-0.00202502,-0.00169990,-0.00156510,-0.00081119,-0.00246998,-0.00154354,-0.00203879,0.00000000,-0.00242230,-0.00257723,-0.00224848,-0.00079572,-0.00253525,-0.00167932,-0.00154269,0.00000000,70.00000000,1606.00000000,1.00000000,2.00000000,70.00000000,0.54777455
-0.00492281,-0.00398965,-0.00393684,-0.00124222,-0.00509675,-0.00354850,-0.00345612,0.00000000,-0.00346363,-0.00302900,-0.00263102,-0.00349373,-0.00088625,-0.00204282,-0.00203632,0.00000000,-0.00258746,-0.00233937,-0.00236241,-0.00094406,-0.00336373,-0.00196445,-0.00180823,0.00000000,-0.00202818,-0.00241534,-0.00268620,-0.00137579,-0.00469423,-0.00371283,-0.00400443,0.00000000,18.00000000,1850.00000000,1.00000000,2.00000000,18.00000000,0.56874597
-0.00600657,-0.00502744,-0.00487564,-0.00172769,-0.00670591,-0.00483557,-0.00485529,0.00000000,-0.00599905,-0.00484053,-0.00471012,-0.00657379,-0.00174670,-0.00461841,-0.00479041,0.00000000,-0.00532926,-0.00482507,-0.00458945,-0.00178103,-0.00639745,-0.00452337,-0.00457687,0.00000000,-0.00531041,-0.00460859,-0.00466650,-0.00168773,-0.00665547,-0.00494767,-0.00511430,0.00000000,96.00000000,2086.00000000,1.00000000,2.00000000,96.00000000,0.49159402
0.00106029,0.00083179,0.00067743,0.00034142,0.00127775,0.00106279,0.00136899,0.00000000,0.00196624,0.00178829,0.00180255,0.00243958,0.00060146,0.00155165,0.00134797,0.00000000,0.00120349,0.00070133,0.00060271,0.00032526,0.00104554,0.00081339,0.00101491,0.00000000,0.00129151,0.00132039,0.00135675,0.00052690,0.00200273,0.00142274,0.00140744,0.00000000,3141.00000000,642.00000000,1.00000000,2.00000000,3141.00000000,0.59770423
0.00162340,0.00155337,0.00156826,0.00061485,0.00223460,0.00157709,0.00155831,0.00000000,0.00153421,0.00108124,0.00084506,0.00095632,0.00025974,0.00081337,0.00094724,0.00000000,0.00130606,0.00121309,0.00138099,0.00047750,0.00215763,0.00158902,0.00147240,0.00000000,0.00180304,0.00112356,0.00108740,0.00037290,0.00162558,0.00119452,0.00133812,0.00000000,2842.00000000,269.00000000,1.00000000,2.00000000,2842.00000000,0.55425519
0.00242542,0.00164221,0.00150175,0.00039377,0.00153971,0.00091133,0.00091336,0.00000000,0.00127545,0.00117509,0.00103374,0.00103495,0.00020057,0.00084166,0.00100694,0.00000000,0.00125062,0.00147854,0.00138094,0.00062987,0.00190806,0.00113889,0.00100381,0.00000000,0.00089688,0.00098146,0.00121902,0.00045914,0.00201853,0.00167127,0.00179299,0.00000000,2269.00000000,1667.00000000,1.00000000,2.00000000,2269.00000000,0.57948917
